Parent	Child	CNA_gains	CNA_losses	SNVs	WGD	Truncal	tumour_id	is_clonal
24	25	9	29	18	FALSE	No	CRUKSIM001	FALSE
30	31	18	25	7	TRUE	No	CRUKSIM001	FALSE
32	33	11	33	155	FALSE	No	CRUKSIM001	FALSE
29	30	10	23	7	FALSE	No	CRUKSIM001	FALSE
29	32	5	33	73	TRUE	No	CRUKSIM001	FALSE
28	29	11	32	3	FALSE	No	CRUKSIM001	FALSE
35	13	9	22	4	FALSE	No	CRUKSIM001	FALSE
27	28	19	35	9	TRUE	No	CRUKSIM001	FALSE
27	35	17	24	22	TRUE	No	CRUKSIM001	FALSE
23	24	14	30	14	FALSE	No	CRUKSIM001	FALSE
23	27	16	31	12	FALSE	No	CRUKSIM001	FALSE
38	19	10	19	111	FALSE	No	CRUKSIM001	FALSE
37	38	10	21	41	FALSE	No	CRUKSIM001	FALSE
41	1	6	27	39	FALSE	No	CRUKSIM001	FALSE
40	41	11	28	28	FALSE	No	CRUKSIM001	FALSE
39	40	12	28	1	FALSE	No	CRUKSIM001	FALSE
36	37	14	26	192	FALSE	No	CRUKSIM001	FALSE
36	39	9	22	40	FALSE	No	CRUKSIM001	FALSE
22	23	14	42	14	FALSE	No	CRUKSIM001	FALSE
22	36	15	30	10	FALSE	No	CRUKSIM001	FALSE
42	22	30	70	200	FALSE	Yes	CRUKSIM001	TRUE
22	23	19	34	44	FALSE	No	CRUKSIM002	FALSE
25	14	14	27	26	FALSE	No	CRUKSIM002	FALSE
28	4	9	27	16	FALSE	No	CRUKSIM002	FALSE
28	29	18	27	137	FALSE	No	CRUKSIM002	FALSE
27	28	15	29	50	FALSE	No	CRUKSIM002	FALSE
26	27	19	37	23	FALSE	No	CRUKSIM002	FALSE
24	25	11	32	179	TRUE	No	CRUKSIM002	FALSE
24	26	16	29	115	FALSE	No	CRUKSIM002	FALSE
21	22	17	43	87	FALSE	No	CRUKSIM002	FALSE
21	24	16	43	67	FALSE	No	CRUKSIM002	FALSE
19	21	28	54	129	FALSE	No	CRUKSIM002	FALSE
18	19	31	66	69	FALSE	No	CRUKSIM002	FALSE
31	12	37	53	15	FALSE	No	CRUKSIM002	FALSE
17	18	29	72	37	FALSE	No	CRUKSIM002	FALSE
17	31	45	75	86	FALSE	No	CRUKSIM002	FALSE
32	17	36	72	120	FALSE	Yes	CRUKSIM002	TRUE
27	5	14	33	66	TRUE	No	CRUKSIM003	FALSE
30	31	16	26	29	FALSE	No	CRUKSIM003	FALSE
32	33	16	18	50	FALSE	No	CRUKSIM003	FALSE
29	30	13	19	15	FALSE	No	CRUKSIM003	FALSE
29	32	15	21	45	FALSE	No	CRUKSIM003	FALSE
26	27	10	30	67	FALSE	No	CRUKSIM003	FALSE
26	29	13	18	57	TRUE	No	CRUKSIM003	FALSE
39	10	9	18	14	TRUE	No	CRUKSIM003	FALSE
38	39	15	21	162	FALSE	No	CRUKSIM003	FALSE
37	38	11	20	51	FALSE	No	CRUKSIM003	FALSE
36	37	18	31	8	FALSE	No	CRUKSIM003	FALSE
35	36	14	17	84	FALSE	No	CRUKSIM003	FALSE
40	18	6	21	121	FALSE	No	CRUKSIM003	FALSE
34	35	15	31	17	FALSE	No	CRUKSIM003	FALSE
34	40	18	29	63	TRUE	No	CRUKSIM003	FALSE
25	26	12	34	23	FALSE	No	CRUKSIM003	FALSE
25	34	11	29	11	FALSE	No	CRUKSIM003	FALSE
24	25	15	31	19	FALSE	No	CRUKSIM003	FALSE
23	24	18	26	13	FALSE	No	CRUKSIM003	FALSE
22	23	38	66	75	FALSE	No	CRUKSIM003	FALSE
42	22	33	77	110	FALSE	Yes	CRUKSIM003	TRUE
19	11	40	46	77	TRUE	No	CRUKSIM004	FALSE
18	19	33	64	120	FALSE	No	CRUKSIM004	FALSE
18	20	41	47	92	FALSE	No	CRUKSIM004	FALSE
24	25	16	43	34	FALSE	No	CRUKSIM004	FALSE
24	5	25	40	72	FALSE	No	CRUKSIM004	FALSE
30	31	10	25	32	FALSE	No	CRUKSIM004	FALSE
29	30	11	19	21	TRUE	No	CRUKSIM004	FALSE
28	29	20	29	18	FALSE	No	CRUKSIM004	FALSE
26	27	26	43	58	FALSE	No	CRUKSIM004	FALSE
26	28	19	35	331	TRUE	No	CRUKSIM004	FALSE
23	24	22	33	18	FALSE	No	CRUKSIM004	FALSE
23	26	22	30	2	FALSE	No	CRUKSIM004	FALSE
22	23	31	30	84	FALSE	No	CRUKSIM004	FALSE
17	18	30	49	27	FALSE	No	CRUKSIM004	FALSE
17	22	38	43	94	FALSE	No	CRUKSIM004	FALSE
32	17	96	72	120	FALSE	Yes	CRUKSIM004	TRUE
28	5	12	38	5	FALSE	No	CRUKSIM005	FALSE
31	1	9	22	18	FALSE	No	CRUKSIM005	FALSE
30	31	15	23	78	FALSE	No	CRUKSIM005	FALSE
30	32	9	22	57	FALSE	No	CRUKSIM005	FALSE
27	28	8	38	13	FALSE	No	CRUKSIM005	FALSE
27	30	14	28	6	FALSE	No	CRUKSIM005	FALSE
26	27	16	31	64	FALSE	No	CRUKSIM005	FALSE
36	37	11	25	52	FALSE	No	CRUKSIM005	FALSE
35	36	10	36	79	FALSE	No	CRUKSIM005	FALSE
34	35	14	31	49	FALSE	No	CRUKSIM005	FALSE
25	26	15	26	107	FALSE	No	CRUKSIM005	FALSE
25	34	16	30	91	FALSE	No	CRUKSIM005	FALSE
43	14	17	46	58	FALSE	No	CRUKSIM005	FALSE
42	43	22	30	7	FALSE	No	CRUKSIM005	FALSE
41	42	17	39	38	FALSE	No	CRUKSIM005	FALSE
40	41	15	42	30	FALSE	No	CRUKSIM005	FALSE
39	40	21	33	4	FALSE	No	CRUKSIM005	FALSE
44	45	21	33	31	TRUE	No	CRUKSIM005	FALSE
38	39	12	41	10	FALSE	No	CRUKSIM005	FALSE
38	44	11	54	38	FALSE	No	CRUKSIM005	FALSE
24	25	22	35	151	FALSE	No	CRUKSIM005	FALSE
24	38	17	53	94	FALSE	No	CRUKSIM005	FALSE
46	24	36	84	120	FALSE	Yes	CRUKSIM005	TRUE
18	2	23	34	16	FALSE	No	CRUKSIM006	FALSE
18	10	23	26	8	FALSE	No	CRUKSIM006	FALSE
17	18	24	39	43	FALSE	No	CRUKSIM006	FALSE
17	19	16	34	11	FALSE	No	CRUKSIM006	FALSE
22	23	14	31	162	FALSE	No	CRUKSIM006	FALSE
27	28	5	14	79	FALSE	No	CRUKSIM006	FALSE
25	27	16	25	188	FALSE	No	CRUKSIM006	FALSE
21	22	8	26	19	FALSE	No	CRUKSIM006	FALSE
21	25	20	22	38	FALSE	No	CRUKSIM006	FALSE
29	7	14	18	73	FALSE	No	CRUKSIM006	FALSE
20	21	16	33	30	FALSE	No	CRUKSIM006	FALSE
20	29	12	27	20	FALSE	No	CRUKSIM006	FALSE
16	17	26	45	42	TRUE	No	CRUKSIM006	FALSE
16	20	23	26	171	TRUE	No	CRUKSIM006	FALSE
30	16	60	50	100	FALSE	Yes	CRUKSIM006	TRUE
18	12	18	50	69	FALSE	No	CRUKSIM007	FALSE
24	25	7	14	14	FALSE	No	CRUKSIM007	FALSE
23	24	11	28	204	FALSE	No	CRUKSIM007	FALSE
22	23	12	27	7	FALSE	No	CRUKSIM007	FALSE
21	3	13	29	26	FALSE	No	CRUKSIM007	FALSE
21	22	14	19	6	TRUE	No	CRUKSIM007	FALSE
27	1	16	25	152	FALSE	No	CRUKSIM007	FALSE
26	27	11	27	33	FALSE	No	CRUKSIM007	FALSE
20	21	24	31	75	FALSE	No	CRUKSIM007	FALSE
20	26	21	30	45	FALSE	No	CRUKSIM007	FALSE
19	20	17	29	28	TRUE	No	CRUKSIM007	FALSE
17	18	22	40	11	FALSE	No	CRUKSIM007	FALSE
17	19	30	54	152	FALSE	No	CRUKSIM007	FALSE
16	17	48	92	58	FALSE	No	CRUKSIM007	FALSE
30	16	66	55	220	FALSE	Yes	CRUKSIM007	TRUE
28	16	13	24	16	FALSE	No	CRUKSIM008	FALSE
27	28	18	25	35	FALSE	No	CRUKSIM008	FALSE
26	14	10	32	79	FALSE	No	CRUKSIM008	FALSE
26	27	15	25	30	FALSE	No	CRUKSIM008	FALSE
29	30	6	24	37	FALSE	No	CRUKSIM008	FALSE
25	26	9	29	3	FALSE	No	CRUKSIM008	FALSE
25	29	18	22	183	TRUE	No	CRUKSIM008	FALSE
24	6	12	30	15	FALSE	No	CRUKSIM008	FALSE
24	25	9	39	15	FALSE	No	CRUKSIM008	FALSE
42	11	11	17	79	TRUE	No	CRUKSIM008	FALSE
41	42	9	15	15	FALSE	No	CRUKSIM008	FALSE
40	41	13	17	69	FALSE	No	CRUKSIM008	FALSE
40	5	7	35	56	FALSE	No	CRUKSIM008	FALSE
39	40	7	20	8	FALSE	No	CRUKSIM008	FALSE
38	39	11	24	14	FALSE	No	CRUKSIM008	FALSE
36	38	17	28	59	TRUE	No	CRUKSIM008	FALSE
34	36	15	30	92	FALSE	No	CRUKSIM008	FALSE
33	34	21	25	2	FALSE	No	CRUKSIM008	FALSE
33	43	19	28	12	FALSE	No	CRUKSIM008	FALSE
23	24	19	30	43	FALSE	No	CRUKSIM008	FALSE
23	33	11	41	38	TRUE	No	CRUKSIM008	FALSE
44	23	30	70	100	FALSE	Yes	CRUKSIM008	TRUE
32	17	8	28	12	FALSE	No	CRUKSIM009	FALSE
31	32	1	28	32	FALSE	No	CRUKSIM009	FALSE
29	31	1	36	46	FALSE	No	CRUKSIM009	FALSE
