"CRUK0029_SU_LN5","CRUK0029_SU_LN7","CRUK0029_SU_T1.R2","CRUK0029_SU_T1.R4","CRUK0029_SU_T1.R5","CRUK0029_SU_T1.R6","CRUK0029_SU_T1.R7","CRUK0029_SU_T1.R8"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"clonal","absent","absent","absent","absent","absent","absent","absent"
"absent","clonal","absent","clonal","subclonal","subclonal","subclonal","subclonal"
"absent","absent","absent","absent","absent","absent","subclonal","subclonal"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","clonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","clonal","subclonal","absent","absent","subclonal"
"absent","absent","absent","absent","absent","subclonal","subclonal","subclonal"
"absent","absent","clonal","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"clonal","clonal","absent","clonal","subclonal","clonal","clonal","subclonal"
"absent","absent","absent","subclonal","subclonal","absent","absent","absent"
