"CRUK0066_SU_T1.R1","CRUK0066_SU_T1.R2","CRUK0066_SU_T1.R3","CRUK0066_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","subclonal","absent","absent"
"clonal","absent","subclonal","clonal"
"absent","absent","absent","clonal"
"subclonal","absent","absent","absent"
"clonal","subclonal","subclonal","clonal"
"clonal","subclonal","subclonal","clonal"
"absent","absent","absent","subclonal"
"clonal","absent","subclonal","absent"
"clonal","absent","subclonal","clonal"
"absent","subclonal","absent","absent"
"clonal","subclonal","subclonal","clonal"
"subclonal","subclonal","subclonal","clonal"
"absent","subclonal","subclonal","absent"
"clonal","absent","subclonal","absent"
"clonal","absent","absent","clonal"
"clonal","absent","absent","absent"
"subclonal","subclonal","subclonal","subclonal"
"absent","absent","subclonal","clonal"
