"CRUK0297_SU_T1.R1","CRUK0297_SU_T1.R2","CRUK0297_SU_T1.R3","CRUK0297_SU_T1.R4","CRUK0297_SU_T1.R5"
"clonal","clonal","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent"
"absent","absent","subclonal","subclonal","subclonal"
"absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","subclonal","subclonal"
"clonal","clonal","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent"
"subclonal","clonal","absent","absent","absent"
"clonal","clonal","absent","subclonal","subclonal"
"absent","subclonal","absent","absent","absent"
