"CRUK0343_SU_LN1","CRUK0343_SU_T1.R1","CRUK0343_SU_T1.R2","CRUK0343_SU_T1.R3","CRUK0343_SU_T1.R4","CRUK0343_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal","clonal"
"clonal","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent","absent"
"absent","clonal","absent","absent","absent","subclonal"
"absent","clonal","subclonal","absent","clonal","clonal"
"absent","absent","absent","absent","absent","subclonal"
"absent","clonal","subclonal","absent","subclonal","subclonal"
"absent","subclonal","absent","absent","absent","absent"
"clonal","clonal","clonal","absent","clonal","clonal"
