"CRUK0518_SU_T1.R1","CRUK0518_SU_T1.R2","CRUK0518_SU_T1.R3","CRUK0518_SU_T1.R4","CRUK0518_SU_T1.R5","CRUK0518_SU_T1.R6","CRUK0518_SU_T1.R7"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent","absent","absent"
"subclonal","clonal","clonal","clonal","clonal","clonal","clonal"
"subclonal","absent","absent","subclonal","absent","absent","absent"
"subclonal","clonal","absent","subclonal","clonal","subclonal","subclonal"
"absent","absent","absent","subclonal","absent","absent","absent"
"subclonal","absent","clonal","subclonal","absent","subclonal","subclonal"
"absent","clonal","absent","subclonal","clonal","absent","absent"
"absent","subclonal","absent","subclonal","absent","absent","absent"
"absent","clonal","absent","subclonal","clonal","absent","subclonal"
"absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal"
"subclonal","absent","subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","subclonal"
"absent","subclonal","absent","absent","absent","absent","absent"
"subclonal","clonal","absent","subclonal","clonal","clonal","absent"
