"CRUK0559_SU_LN1","CRUK0559_SU_LN2","CRUK0559_SU_LN3","CRUK0559_SU_T1.R1","CRUK0559_SU_T1.R2","CRUK0559_SU_T1.R3","CRUK0559_SU_T1.R4","CRUK0559_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"clonal","clonal","clonal","absent","absent","absent","absent","absent"
"absent","absent","absent","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","clonal","clonal","absent","absent"
"absent","absent","absent","clonal","absent","absent","absent","subclonal"
"absent","absent","absent","clonal","absent","absent","absent","clonal"
"absent","absent","absent","subclonal","subclonal","clonal","subclonal","clonal"
"absent","absent","absent","absent","absent","absent","clonal","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","clonal","subclonal","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
