"CRUK0620_SU_LN1","CRUK0620_SU_T1.R5","CRUK0620_SU_T2.R1","CRUK0620_SU_T2.R2","CRUK0620_SU_T2.R3","CRUK0620_SU_T2.R4"
"clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","clonal","absent"
"clonal","clonal","absent","absent","absent","absent"
"absent","absent","clonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","clonal","clonal"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","clonal","subclonal","absent","absent"
"absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent"
"clonal","clonal","clonal","clonal","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"subclonal","clonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
