"CRUK0704_SU_T2.R1","CRUK0704_SU_T2.R2","CRUK0704_SU_T2.R3","CRUK0704_SU_T2.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"clonal","clonal","clonal","subclonal"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"clonal","clonal","subclonal","clonal"
"absent","subclonal","subclonal","absent"
