"CRUK0810_SU_LN1","CRUK0810_SU_LN2","CRUK0810_SU_LN3","CRUK0810_SU_T1.R1","CRUK0810_SU_T1.R2","CRUK0810_SU_T1.R3","CRUK0810_SU_T1.R4","CRUK0810_SU_T1.R5","CRUK0810_SU_T1.R6","CRUK0810_SU_T1.R7","CRUK0810_SU_T1.R8"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"clonal","clonal","clonal","absent","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","clonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal","clonal","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","subclonal","clonal","absent","absent","absent"
"absent","clonal","absent","absent","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","absent","absent","absent","absent"
"clonal","absent","absent","absent","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","absent","absent","absent","clonal"
"subclonal","absent","absent","absent","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","clonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","clonal","absent","subclonal","absent"
"clonal","clonal","clonal","clonal","subclonal","subclonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","clonal","absent","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","subclonal","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent","absent","absent","clonal"
