"","D0N","D1N","J1N","D0S","D1S","J1S","D0L","D1L","J1L"
"CRUK0005",1.93262676159341,1.74253090588972,0.859629441184975,5.31652977794789,4.47477199130454,0.901048640760426,2.17984698670483,1.92972886782322,0.840793553808785
"CRUK0057",1.97560683116365,1.91674877398435,0.956365394725595,2.05104856727211,1.98813665602997,0.956561933945778,1.99343927051341,1.93248838114246,0.955200085379078
"CRUK0039",1.98761736681393,1.98539072364979,0.998382904180452,2.04536035289172,2.03268308096322,0.995253802157606,1.99929502603667,1.99638444056511,0.997898185776066
"CRUK0196",1.98105406360002,1.77953427597806,0.84523146878868,2.03738315125157,1.82748335436532,0.84574538187744,1.99568478807452,1.79037042739263,0.843374242099883
"CRUK0023",2.86385316067037,2.69223595088464,0.939675865513381,3.08063200285605,2.85788784488623,0.939485675501979,2.89444778359429,2.71559490755888,0.936943631253615
"CRUK0050",1.00175647445869,1.00175537729363,0.99999841989996,1.02225053695392,1.00939908334383,0.988484182403624,1.00175647445869,1.00175537729363,0.99999841989996
"CRUK0073",1.95850097269377,1.95850097269377,1,2.08647832249283,2.03863546237624,0.978885236614834,1.95850097269377,1.95850097269377,1
"CRUK0038",1.97256938198071,1.87240803180107,0.92481881307108,2.03376979473954,1.92595517579288,0.924756271710966,1.99221399471125,1.8907451868103,0.924582322740663
"CRUK0010",1.77092045441188,1.75188197152615,0.984406169329658,2.66050565958609,2.53720313787298,0.963948088666432,1.9899314133702,1.95467192290594,0.974207775756471
"CRUK0013",1.93704102367489,1.71139141778211,0.822014934816421,2.20570381134869,1.93984295994444,0.83153987569011,2.01528100630684,1.7778350039745,0.821838346292643
"CRUK0011",1.80095620697824,1.76202379574311,0.968591329315257,2.95934633993051,2.61136319311586,0.90655680926772,2.00704910110239,1.91759391792529,0.936405641338951
"CRUK0014",1.92227369802658,1.83885486468019,0.935993851452361,2.11266247661094,2.00509894768566,0.93231182579483,1.92227369802658,1.83885486468018,0.935993851452361
"CRUK0279",1.70684871191086,1.65473812726474,0.955267730071653,2.39125504832072,2.31306142021334,0.96791949698802,1.99129278866785,1.92782867835754,0.953271485770898
"CRUK0223_Tumour1",2.00038830021393,1.95896770821898,0.970037009173632,2.19635002863506,2.13516750843947,0.968186338209496,2.05974723219735,2.01527354282111,0.970247905505471
"CRUK0287",1.9971731898683,1.74456974638439,0.804911831265445,2.00499922702411,1.75115851780555,0.805085724590862,1.99913758930256,1.74596140962118,0.8046439039149
"CRUK0276",1.69381484222868,1.59821656687748,0.91672496567624,4.22644958053522,3.77431386687236,0.930972919198516,2.10586299122477,1.93469272251218,0.8916667578847
"CRUK0278",1.98717378128321,1.88135569485793,0.921054591065257,2.00753549295965,1.89897110584606,0.920703482837268,1.98717378128321,1.88135569485793,0.921054591065257
"CRUK0241",1.96003379377554,1.72366996088268,0.814662972996531,2.54041298063244,2.13006321010212,0.814211533282857,1.97979084044872,1.73634867141859,0.810842363494163
"CRUK0269",1.98890476549493,1.98862625675702,0.999797963523887,2.02099174790153,2.01930592506251,0.999442996871437,1.99730347421356,1.9968224527251,0.999652506039116
"CRUK0284",2.01001527608082,1.63981690327495,0.711342348978972,3.14548834815614,2.47358033996571,0.787926942879701,2.16147170623502,1.72114041278402,0.694414818295433
"CRUK0254",1.99335155426365,1.69955078912701,0.76995730458776,1.99885045298945,1.7041462168051,0.770202437185537,1.99335155426365,1.69955078912701,0.76995730458776
"CRUK0361",2.35961219898643,2.20344987305473,0.937600239513398,4.84785845138461,4.19611595495332,0.920403630455358,2.70955473329774,2.48091084852257,0.913798060722538
"CRUK0370",1.9618355285287,1.96139452453774,0.999675657932441,2.14424623755762,2.11626058113376,0.990782456310918,1.99421932932555,1.99180638027553,0.998253322829694
"CRUK0316",1.01857141045104,1.01689049733338,0.998537888074644,1.35242251301938,1.25833456910248,0.961402094269182,1.02213124713215,1.02031772443754,0.998459273477828
"CRUK0339",2.97679643751898,2.5611907326295,0.862816223421517,3.02958884439983,2.60118445762197,0.862571137916528,2.98077709727661,2.56375300315738,0.862433463235675
"CRUK0321",3.45235965513823,3.34855838556229,0.977687729905791,4.49650655317479,4.29098538762332,0.976108475316677,3.85345061831642,3.71262971541259,0.970799320822263
"CRUK0497",2.75067463133736,2.66848610544397,0.972387991203069,3.78907937033581,3.43350610872564,0.93414087532277,2.89937724438656,2.80003893671324,0.966940009162641
"CRUK0452",1.00434384065925,1.00218372059548,0.99689374243562,1.03204070122531,1.0214749358718,0.992361064606038,1.00434384065925,1.00218372059548,0.99689374243562
