OS Time Results
Model,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
Linear Regression_EN,274845.2878,340329.5059,435.6711,482.3214,524.2569,583.3777,0.3108,0.2193
Lasso Regression,288185.7424,349679.897,447.9021,490.8605,536.8293,591.3374,0.2774,0.1979
Ridge Regression,266435.8782,343470.1218,428.26,484.773,516.1743,586.0632,0.3319,0.2121
Neural Network,16479.3872,587086.055,95.4617,588.3728,128.3721,766.2154,0.9587,-0.3467
XGBoost,275876.8477,345889.6305,441.8912,491.8893,525.2398,588.1238,0.3082,0.2066


DFS Time Results
Model,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
Linear Regression_EN,294499.1741,360961.0955,460.9526,516.5016,542.6778,600.8004,0.333,0.2087
Lasso Regression,307285.1281,367104.0699,470.1787,516.4887,554.333,605.8911,0.304,0.1952
Ridge Regression,286249.1226,363817.2993,452.2981,517.9099,535.0225,603.1727,0.3516,0.2024
Neural Network,16637.5791,639479.0452,92.8709,624.2266,128.9867,799.6743,0.9623,-0.4019
XGBoost,296528.5953,351809.8544,467.0456,515.9031,544.5444,593.1356,0.3284,0.2287
