"","x"
"1","CRUK0005"
"2","CRUK0057"
"3","CRUK0039"
"4","CRUK0196"
"5","CRUK0023"
"6","CRUK0050"
"7","CRUK0073"
"8","CRUK0038"
"9","CRUK0010"
"10","CRUK0013"
"11","CRUK0011"
"12","CRUK0014"
"13","CRUK0279"
"14","CRUK0223_Tumour1"
"15","CRUK0223_Tumour2"
"16","CRUK0287"
"17","CRUK0276"
"18","CRUK0278"
"19","CRUK0241"
"20","CRUK0269"
"21","CRUK0284"
"22","CRUK0254"
"23","CRUK0361"
"24","CRUK0370"
"25","CRUK0316"
"26","CRUK0339"
"27","CRUK0321"
"28","CRUK0497"
"29","CRUK0452"
"30","CRUK0472"
"31","CRUK0484"
"32","CRUK0418"
"33","CRUK0573"
"34","CRUK0578"
"35","CRUK0533"
"36","CRUK0582"
"37","CRUK0588"
"38","CRUK0681"
"39","CRUK0607"
"40","CRUK0603"
"41","CRUK0768"
"42","CRUK0721_Tumour2"
"43","CRUK0735"
"44","CRUK0702"
"45","CRUK0794"
"46","CRUK0077"
"47","CRUK0015"
"48","CRUK0065"
"49","CRUK0004"
"50","CRUK0098"
"51","CRUK0078"
"52","CRUK0095"
"53","CRUK0053"
"54","CRUK0021"
"55","CRUK0020"
"56","CRUK0027"
"57","CRUK0061"
"58","CRUK0044"
"59","CRUK0052"
"60","CRUK0100"
"61","CRUK0036"
"62","CRUK0001"
"63","CRUK0047"
"64","CRUK0083"
"65","CRUK0178"
"66","CRUK0259"
"67","CRUK0235"
"68","CRUK0253"
"69","CRUK0037"
"70","CRUK0094"
"71","CRUK0273"
"72","CRUK0297"
"73","CRUK0233"
"74","CRUK0280"
"75","CRUK0286"
"76","CRUK0256"
"77","CRUK0274"
"78","CRUK0240"
"79","CRUK0236"
"80","CRUK0392"
"81","CRUK0381"
"82","CRUK0352"
"83","CRUK0310"
"84","CRUK0312"
"85","CRUK0328"
"86","CRUK0388"
"87","CRUK0386"
"88","CRUK0393"
"89","CRUK0318"
"90","CRUK0396"
"91","CRUK0343"
"92","CRUK0430"
"93","CRUK0492"
"94","CRUK0456"
"95","CRUK0422"
"96","CRUK0404"
"97","CRUK0450"
"98","CRUK0485"
"99","CRUK0462"
"100","CRUK0423"
"101","CRUK0478"
"102","CRUK0594"
"103","CRUK0542"
"104","CRUK0575"
"105","CRUK0598"
"106","CRUK0535"
"107","CRUK0590"
"108","CRUK0527"
"109","CRUK0505"
"110","CRUK0586_Tumour1"
"111","CRUK0586_Tumour2"
"112","CRUK0570"
"113","CRUK0543"
"114","CRUK0524"
"115","CRUK0567"
"116","CRUK0610"
"117","CRUK0620_Tumour1"
"118","CRUK0620_Tumour2"
"119","CRUK0625"
"120","CRUK0691"
"121","CRUK0674"
"122","CRUK0693"
"123","CRUK0642"
"124","CRUK0609"
"125","CRUK0650"
"126","CRUK0680"
"127","CRUK0617"
"128","CRUK0616"
"129","CRUK0698"
"130","CRUK0784"
"131","CRUK0710"
"132","CRUK0799"
"133","CRUK0749"
"134","CRUK0766"
"135","CRUK0769"
"136","CRUK0756"
"137","CRUK0793"
"138","CRUK0714"
"139","CRUK0738"
"140","CRUK0722"
"141","CRUK0771"
"142","CRUK0719"
"143","CRUK0788"
"144","CRUK0313"
"145","CRUK0359"
"146","CRUK0424"
"147","CRUK0486"
"148","CRUK0541"
"149","CRUK0686"
"150","CRUK0729"
"151","CRUK0741"
"152","CRUK0051"
"153","CRUK0003"
"154","CRUK0018"
"155","CRUK0062"
"156","CRUK0146"
"157","CRUK0096"
"158","CRUK0030_Tumour2"
"159","CRUK0193"
"160","CRUK0025"
"161","CRUK0290"
"162","CRUK0271"
"163","CRUK0267"
"164","CRUK0249"
"165","CRUK0213"
"166","CRUK0212"
"167","CRUK0380"
"168","CRUK0329"
"169","CRUK0375"
"170","CRUK0367"
"171","CRUK0394"
"172","CRUK0334"
"173","CRUK0468"
"174","CRUK0410"
"175","CRUK0412"
"176","CRUK0448"
"177","CRUK0415"
"178","CRUK0434"
"179","CRUK0592"
"180","CRUK0518"
"181","CRUK0696"
"182","CRUK0638"
"183","CRUK0745"
"184","CRUK0045"
"185","CRUK0076"
"186","CRUK0085"
"187","CRUK0071"
"188","CRUK0066"
"189","CRUK0080"
"190","CRUK0017"
"191","CRUK0068"
"192","CRUK0032"
"193","CRUK0072"
"194","CRUK0043"
"195","CRUK0157"
"196","CRUK0084"
"197","CRUK0012"
"198","CRUK0033"
"199","CRUK0009"
"200","CRUK0054"
"201","CRUK0075"
"202","CRUK0270"
"203","CRUK0296"
"204","CRUK0097"
"205","CRUK0087"
"206","CRUK0064"
"207","CRUK0245"
"208","CRUK0201"
"209","CRUK0056"
"210","CRUK0074"
"211","CRUK0022"
"212","CRUK0260"
"213","CRUK0218"
"214","CRUK0244"
"215","CRUK0299"
"216","CRUK0246"
"217","CRUK0331"
"218","CRUK0369"
"219","CRUK0379"
"220","CRUK0303"
"221","CRUK0350"
"222","CRUK0384"
"223","CRUK0337"
"224","CRUK0311"
"225","CRUK0409"
"226","CRUK0408"
"227","CRUK0488"
"228","CRUK0401"
"229","CRUK0413"
"230","CRUK0441"
"231","CRUK0431"
"232","CRUK0451"
"233","CRUK0402"
"234","CRUK0416"
"235","CRUK0428"
"236","CRUK0453"
"237","CRUK0597"
"238","CRUK0537"
"239","CRUK0530"
"240","CRUK0549"
"241","CRUK0504"
"242","CRUK0520"
"243","CRUK0553"
"244","CRUK0692"
"245","CRUK0679"
"246","CRUK0709"
"247","CRUK0753"
"248","CRUK0730"
"249","CRUK0707"
"250","CRUK0177"
"251","CRUK0373"
"252","CRUK0088"
"253","CRUK0046"
"254","CRUK0099"
"255","CRUK0086"
"256","CRUK0272"
"257","CRUK0368"
"258","CRUK0382"
"259","CRUK0346"
"260","CRUK0460"
"261","CRUK0465"
"262","CRUK0503"
"263","CRUK0742"
"264","CRUK0775"
"265","CRUK0704_Tumour1"
"266","CRUK0704_Tumour2"
"267","CRUK0704_Tumour3"
"268","CRUK0479"
"269","CRUK0419"
"270","CRUK0403"
"271","CRUK0445"
"272","CRUK0406"
"273","CRUK0444"
"274","CRUK0510"
"275","CRUK0572"
"276","CRUK0513"
"277","CRUK0512"
"278","CRUK0893"
"279","CRUK0034"
"280","CRUK0150"
"281","CRUK0159"
"282","CRUK0063"
"283","CRUK0081"
"284","CRUK0028"
"285","CRUK0092"
"286","CRUK0091"
"287","CRUK0024"
"288","CRUK0026"
"289","CRUK0134"
"290","CRUK0069"
"291","CRUK0016"
"292","CRUK0079"
"293","CRUK0124"
"294","CRUK0008"
"295","CRUK0029"
"296","CRUK0035"
"297","CRUK0070"
"298","CRUK0067"
"299","CRUK0183"
"300","CRUK0129"
"301","CRUK0173"
"302","CRUK0059"
"303","CRUK0002"
"304","CRUK0118"
"305","CRUK0142"
"306","CRUK0115"
"307","CRUK0041"
"308","CRUK0049"
"309","CRUK0006"
"310","CRUK0048"
"311","CRUK0019"
"312","CRUK0232"
"313","CRUK0242"
"314","CRUK0247"
"315","CRUK0372_Tumour1"
"316","CRUK0372_Tumour2"
"317","CRUK0315"
"318","CRUK0371"
"319","CRUK0344"
"320","CRUK0322"
"321","CRUK0333"
"322","CRUK0349"
"323","CRUK0314"
"324","CRUK0319"
"325","CRUK0324"
"326","CRUK0487"
"327","CRUK0420"
"328","CRUK0496"
"329","CRUK0407"
"330","CRUK0579"
"331","CRUK0514"
"332","CRUK0525"
"333","CRUK0566"
"334","CRUK0565"
"335","CRUK0519"
"336","CRUK0557"
"337","CRUK0559"
"338","CRUK0516"
"339","CRUK0596"
"340","CRUK0587"
"341","CRUK0548"
"342","CRUK0521"
"343","CRUK0589"
"344","CRUK0684"
"345","CRUK0667"
"346","CRUK0633"
"347","CRUK0687"
"348","CRUK0628"
"349","CRUK0682"
"350","CRUK0606"
"351","CRUK0640"
"352","CRUK0644"
"353","CRUK0636"
"354","CRUK0655"
"355","CRUK0649"
