"CRUK0881_SU_T1.R1_cov","CRUK0881_SU_T1.R2_cov","CRUK0881_SU_T1.R3_cov","CRUK0881_SU_T1.R4_cov","CRUK0881_SU_T1.R5_cov","CRUK0881_SU_T1.R1_var_count","CRUK0881_SU_T1.R2_var_count","CRUK0881_SU_T1.R3_var_count","CRUK0881_SU_T1.R4_var_count","CRUK0881_SU_T1.R5_var_count","CRUK0881_SU_T1.R1_VAF","CRUK0881_SU_T1.R2_VAF","CRUK0881_SU_T1.R3_VAF","CRUK0881_SU_T1.R4_VAF","CRUK0881_SU_T1.R5_VAF","CRUK0881_SU_T1.R1_PhyloCCF","CRUK0881_SU_T1.R2_PhyloCCF","CRUK0881_SU_T1.R3_PhyloCCF","CRUK0881_SU_T1.R4_PhyloCCF","CRUK0881_SU_T1.R5_PhyloCCF","CRUK0881_SU_T1.R1_PycloneCCF","CRUK0881_SU_T1.R2_PycloneCCF","CRUK0881_SU_T1.R3_PycloneCCF","CRUK0881_SU_T1.R4_PycloneCCF","CRUK0881_SU_T1.R5_PycloneCCF","CRUK0881_SU_T1.R1_Pyclone_0.05","CRUK0881_SU_T1.R2_Pyclone_0.05","CRUK0881_SU_T1.R3_Pyclone_0.05","CRUK0881_SU_T1.R4_Pyclone_0.05","CRUK0881_SU_T1.R5_Pyclone_0.05","CRUK0881_SU_T1.R1_Pyclone_0.95","CRUK0881_SU_T1.R2_Pyclone_0.95","CRUK0881_SU_T1.R3_Pyclone_0.95","CRUK0881_SU_T1.R4_Pyclone_0.95","CRUK0881_SU_T1.R5_Pyclone_0.95","CRUK0881_SU_T1.R1_cpn.copies","CRUK0881_SU_T1.R2_cpn.copies","CRUK0881_SU_T1.R3_cpn.copies","CRUK0881_SU_T1.R4_cpn.copies","CRUK0881_SU_T1.R5_cpn.copies","CRUK0881_SU_T1.R1_mut.cpn.num","CRUK0881_SU_T1.R2_mut.cpn.num","CRUK0881_SU_T1.R3_mut.cpn.num","CRUK0881_SU_T1.R4_mut.cpn.num","CRUK0881_SU_T1.R5_mut.cpn.num","CRUK0881_SU_T1.R1_nAraw","CRUK0881_SU_T1.R2_nAraw","CRUK0881_SU_T1.R3_nAraw","CRUK0881_SU_T1.R4_nAraw","CRUK0881_SU_T1.R5_nAraw","CRUK0881_SU_T1.R1_nBraw","CRUK0881_SU_T1.R2_nBraw","CRUK0881_SU_T1.R3_nBraw","CRUK0881_SU_T1.R4_nBraw","CRUK0881_SU_T1.R5_nBraw","PycloneCluster"
357,415,441,338,334,31,63,68,35,35,0.0868347338935574,0.151807228915663,0.154195011337868,0.103550295857988,0.104790419161677,0.484895791957172,1.14700231500402,0.906755341919869,0.657523857984372,0.807795632197779,0.484895791957172,1.14700231500402,0.906755341919869,0.657523857984372,0.807795632197779,0.484895791957172,1.14700231500402,0.906755341919869,0.657523857984372,0.807795632197779,0.484895791957172,1.14700231500402,0.906755341919869,0.657523857984372,0.807795632197779,1,1,1,1,1,0.484895791957172,1.14700231500402,0.906755341919869,0.657523857984372,0.807795632197779,2,2,2,2,3,1,1,1,1,1,1
759,777,807,658,667,198,311,249,156,260,0.260869565217391,0.4002574002574,0.308550185873606,0.237082066869301,0.389805097451274,0.988322012679309,1.22132253689999,1.08260051112517,0.986717455424636,0.943407584820752,0.988322012679309,1.22132253689999,1.08260051112517,0.986717455424636,0.943407584820752,0.988322012679309,1.22132253689999,1.08260051112517,0.986717455424636,0.943407584820752,0.988322012679309,1.22132253689999,1.08260051112517,0.986717455424636,0.943407584820752,1,1,1,1,1,1.95143080309958,2.54619246024119,1.7786944464703,1.64768008562496,3.25788717205171,2,2,2,2,3,1,1,1,1,1,1
727,742,679,594,576,1,0,0,41,0,0.00137551581843191,0,0,0.069023569023569,0,0,0,0,0.484627311317991,0,0,0,0,0.484627311317991,0,0,0,0,0.484627311317991,0,0,0,0,0.484627311317991,0,1,1,1,1,1,0.0100131554748794,0,0,0.484627311317991,0,2,2,2,2,3,1,1,1,1,1,11
681,753,749,604,626,92,98,2,106,0,0.135095447870778,0.130146082337317,0.00267022696929239,0.175496688741722,0,0.982083231245443,0.800788843716807,0,0.952375464302333,0,0.982083231245443,0.800788843716807,0,0.952375464302333,0,0.982083231245443,0.800788843716807,0,0.952375464302333,0,0.982083231245443,0.800788843716807,0,0.952375464302333,0,1,1,1,1,1,0.982083231245443,0.800788843716807,0.0148050174455979,1.23423832179857,0,2,2,2,2,3,1,1,1,1,1,6
177,196,184,159,138,44,61,62,44,57,0.248587570621469,0.311224489795918,0.33695652173913,0.276729559748428,0.41304347826087,0.903559995733187,1.03256828090837,1.09945439610231,1.05431426270169,1.0127155810364,0.903559995733187,1.03256828090837,1.09945439610231,1.05431426270169,1.0127155810364,0.903559995733187,1.03256828090837,1.09945439610231,1.05431426270169,1.0127155810364,0.903559995733187,1.03256828090837,1.09945439610231,1.05431426270169,1.0127155810364,1,1,1,1,1,1.80711999146637,1.91496428355082,1.86824836994205,1.94296968992284,2.97594378315496,2,2,2,2,3,1,1,1,1,1,1
1104,1388,1352,1094,1048,51,0,0,0,0,0.046195652173913,0,0,0,0,0.344014638217581,0,0,0,0,0.344014638217581,0,0,0,0,0.344014638217581,0,0,0,0,0.344014638217581,0,0,0,0,1,1,1,1,1,0.344014638217581,0,0,0,0,2,2,2,2,3,1,1,1,1,1,9
569,610,607,542,521,142,135,17,149,2,0.249560632688928,0.221311475409836,0.028006589785832,0.274907749077491,0.00383877159309021,0.929227175369477,1.1326806114183,0.157901157763375,1.02031426000859,0,0.929227175369477,1.1326806114183,0.157901157763375,1.02031426000859,0,0.929227175369477,1.1326806114183,0.157901157763375,1.02031426000859,0,0.929227175369477,1.1326806114183,0.157901157763375,1.02031426000859,0,1,1,1,1,1,1.85845435073895,1.39061959909261,0.157901157763375,1.97781387227667,0.0288549855626546,2,2,2,2,3,1,1,1,1,1,5
298,372,338,273,239,0,12,0,0,0,0,0.032258064516129,0,0,0,0,0.215285465009571,0,0,0,0,0.215285465009571,0,0,0,0,0.215285465009571,0,0,0,0,0.215285465009571,0,0,0,1,1,1,1,1,0,0.215285465009571,0,0,0,2,2,2,2,3,1,2,1,2,1,3
344,398,401,294,310,0,12,0,0,0,0,0.0301507537688442,0,0,0,0,0.201221590410956,0,0,0,0,0.201221590410956,0,0,0,0,0.201221590410956,0,0,0,0,0.201221590410956,0,0,0,1,1,1,1,1,0,0.201221590410956,0,0,0,2,2,2,2,3,1,2,1,2,1,3
773,825,728,704,645,0,77,122,2,60,0,0.0933333333333333,0.167582417582418,0.00284090909090909,0.0930232558139535,0,0.622892612094359,0.978797368464794,0,0.713994229313693,0,0.622892612094359,0.978797368464794,0,0.713994229313693,0,0.622892612094359,0.978797368464794,0,0.713994229313693,0,0.622892612094359,0.978797368464794,0,0.713994229313693,1,1,1,1,1,0,0.622892612094359,0.978797368464794,0.0207949866886251,0.713994229313693,2,2,2,2,3,1,2,1,2,1,2
