"CRUK0418_SU_T1.R1","CRUK0418_SU_T1.R2","CRUK0418_SU_T1.R3","CRUK0418_SU_T1.R4","CRUK0418_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","clonal"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","subclonal","absent","absent","absent"
"clonal","clonal","clonal","subclonal","absent"
"absent","absent","absent","subclonal","clonal"
"absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","absent"
"absent","absent","clonal","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"absent","subclonal","clonal","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"absent","subclonal","clonal","subclonal","absent"
"clonal","clonal","subclonal","subclonal","clonal"
"subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent"
"absent","subclonal","absent","subclonal","absent"
"absent","subclonal","subclonal","subclonal","absent"
"clonal","clonal","clonal","clonal","subclonal"
"subclonal","subclonal","absent","subclonal","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","subclonal","absent"
"absent","absent","clonal","absent","absent"
"subclonal","subclonal","clonal","clonal","absent"
"clonal","subclonal","clonal","subclonal","absent"
"absent","clonal","absent","absent","absent"
"subclonal","subclonal","clonal","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"subclonal","subclonal","subclonal","subclonal","subclonal"
"absent","absent","absent","subclonal","subclonal"
"absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","subclonal","absent"
"subclonal","subclonal","absent","absent","absent"
"absent","absent","subclonal","subclonal","clonal"
"absent","clonal","subclonal","absent","absent"
"subclonal","subclonal","subclonal","subclonal","absent"
"absent","subclonal","absent","subclonal","absent"
"clonal","absent","absent","absent","clonal"
"subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"subclonal","subclonal","clonal","clonal","subclonal"
"absent","absent","absent","clonal","absent"
"absent","clonal","clonal","subclonal","absent"
"absent","absent","clonal","clonal","absent"
"absent","absent","subclonal","absent","clonal"
"subclonal","clonal","absent","subclonal","clonal"
"absent","subclonal","absent","clonal","absent"
"absent","absent","absent","subclonal","subclonal"
"absent","subclonal","absent","subclonal","clonal"
"absent","subclonal","clonal","clonal","subclonal"
"clonal","absent","absent","subclonal","clonal"
"clonal","absent","clonal","absent","absent"
"absent","clonal","absent","absent","clonal"
"clonal","subclonal","subclonal","subclonal","clonal"
"absent","absent","clonal","subclonal","absent"
