"CRUK0331_SU_T1.R1_cov","CRUK0331_SU_T1.R2_cov","CRUK0331_SU_T1.R3_cov","CRUK0331_SU_T1.R4_cov","CRUK0331_SU_T1.R5_cov","CRUK0331_SU_T1.R6_cov","CRUK0331_SU_T1.R7_cov","CRUK0331_SU_T1.R1_var_count","CRUK0331_SU_T1.R2_var_count","CRUK0331_SU_T1.R3_var_count","CRUK0331_SU_T1.R4_var_count","CRUK0331_SU_T1.R5_var_count","CRUK0331_SU_T1.R6_var_count","CRUK0331_SU_T1.R7_var_count","CRUK0331_SU_T1.R1_VAF","CRUK0331_SU_T1.R2_VAF","CRUK0331_SU_T1.R3_VAF","CRUK0331_SU_T1.R4_VAF","CRUK0331_SU_T1.R5_VAF","CRUK0331_SU_T1.R6_VAF","CRUK0331_SU_T1.R7_VAF","CRUK0331_SU_T1.R1_PhyloCCF","CRUK0331_SU_T1.R2_PhyloCCF","CRUK0331_SU_T1.R3_PhyloCCF","CRUK0331_SU_T1.R4_PhyloCCF","CRUK0331_SU_T1.R5_PhyloCCF","CRUK0331_SU_T1.R6_PhyloCCF","CRUK0331_SU_T1.R7_PhyloCCF","CRUK0331_SU_T1.R1_PycloneCCF","CRUK0331_SU_T1.R2_PycloneCCF","CRUK0331_SU_T1.R3_PycloneCCF","CRUK0331_SU_T1.R4_PycloneCCF","CRUK0331_SU_T1.R5_PycloneCCF","CRUK0331_SU_T1.R6_PycloneCCF","CRUK0331_SU_T1.R7_PycloneCCF","CRUK0331_SU_T1.R1_Pyclone_0.05","CRUK0331_SU_T1.R2_Pyclone_0.05","CRUK0331_SU_T1.R3_Pyclone_0.05","CRUK0331_SU_T1.R4_Pyclone_0.05","CRUK0331_SU_T1.R5_Pyclone_0.05","CRUK0331_SU_T1.R6_Pyclone_0.05","CRUK0331_SU_T1.R7_Pyclone_0.05","CRUK0331_SU_T1.R1_Pyclone_0.95","CRUK0331_SU_T1.R2_Pyclone_0.95","CRUK0331_SU_T1.R3_Pyclone_0.95","CRUK0331_SU_T1.R4_Pyclone_0.95","CRUK0331_SU_T1.R5_Pyclone_0.95","CRUK0331_SU_T1.R6_Pyclone_0.95","CRUK0331_SU_T1.R7_Pyclone_0.95","CRUK0331_SU_T1.R1_cpn.copies","CRUK0331_SU_T1.R2_cpn.copies","CRUK0331_SU_T1.R3_cpn.copies","CRUK0331_SU_T1.R4_cpn.copies","CRUK0331_SU_T1.R5_cpn.copies","CRUK0331_SU_T1.R6_cpn.copies","CRUK0331_SU_T1.R7_cpn.copies","CRUK0331_SU_T1.R1_mut.cpn.num","CRUK0331_SU_T1.R2_mut.cpn.num","CRUK0331_SU_T1.R3_mut.cpn.num","CRUK0331_SU_T1.R4_mut.cpn.num","CRUK0331_SU_T1.R5_mut.cpn.num","CRUK0331_SU_T1.R6_mut.cpn.num","CRUK0331_SU_T1.R7_mut.cpn.num","CRUK0331_SU_T1.R1_nAraw","CRUK0331_SU_T1.R2_nAraw","CRUK0331_SU_T1.R3_nAraw","CRUK0331_SU_T1.R4_nAraw","CRUK0331_SU_T1.R5_nAraw","CRUK0331_SU_T1.R6_nAraw","CRUK0331_SU_T1.R7_nAraw","CRUK0331_SU_T1.R1_nBraw","CRUK0331_SU_T1.R2_nBraw","CRUK0331_SU_T1.R3_nBraw","CRUK0331_SU_T1.R4_nBraw","CRUK0331_SU_T1.R5_nBraw","CRUK0331_SU_T1.R6_nBraw","CRUK0331_SU_T1.R7_nBraw","PycloneCluster"
100,98,103,99,138,86,83,11,17,11,17,7,16,13,0.11,0.173469387755102,0.106796116504854,0.171717171717172,0.0507246376811594,0.186046511627907,0.156626506024096,1.027498778279,1.27927853163964,1.20534532623691,0.764213282939834,0.839280439628202,0.752731737819379,1.16942788408629,1.027498778279,1.27927853163964,1.20534532623691,0.764213282939834,0.839280439628202,0.752731737819379,1.16942788408629,1.027498778279,1.27927853163964,1.20534532623691,0.764213282939834,0.839280439628202,0.752731737819379,1.16942788408629,1.027498778279,1.27927853163964,1.20534532623691,0.764213282939834,0.839280439628202,0.752731737819379,1.16942788408629,1,1,1,1,1,1,1,1.027498778279,1.43328130973143,1.36139116473015,1.52842656587967,0.839280439628202,1.50546347563876,1.37364184940974,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1421,1651,1176,1539,1439,1396,1137,104,0,1,0,0,0,0,0.0731878958479944,0,0.000850340136054422,0,0,0,0,0.946732333368095,0,0,0,0,0,0,0.946732333368095,0,0,0,0,0,0,0.946732333368095,0,0,0,0,0,0,0.946732333368095,0,0,0,0,0,0,1,1,1,1,1,1,1,0.946732333368095,0,0.0144267597224975,0,0,0,0,6,6,6,6,6,6,6,2,2,2,2,2,2,2,3
1036,1153,798,1100,1135,939,851,0,0,0,0,32,0,0,0,0,0,0,0.0281938325991189,0,0,0,0,0,0,0.568282576737987,0,0,0,0,0,0,0.568282576737987,0,0,0,0,0,0,0.568282576737987,0,0,0,0,0,0,0.568282576737987,0,0,1,1,1,1,1,1,1,0,0,0,0,0.568282576737987,0,0,6,6,6,6,6,6,6,2,2,2,2,2,2,2,6
421,446,359,439,446,363,313,67,106,66,90,59,95,55,0.159144893111639,0.237668161434978,0.183844011142061,0.20501138952164,0.132286995515695,0.261707988980716,0.175718849840256,0.89376550509904,1.07968559215187,0.932827009854582,1.09430156695965,1.07687897020772,0.891804861479256,0.94029013407283,0.89376550509904,1.07968559215187,0.932827009854582,1.09430156695965,1.07687897020772,0.891804861479256,0.94029013407283,0.89376550509904,1.07968559215187,0.932827009854582,1.09430156695965,1.07687897020772,0.891804861479256,0.94029013407283,0.89376550509904,1.07968559215187,0.932827009854582,1.09430156695965,1.07687897020772,0.891804861479256,0.94029013407283,1,1,1,1,1,1,1,1.78753101019808,2.45400880561521,2.79848102956375,2.1886031339193,2.4485695674901,2.67541458443777,1.88058026814566,5,5,6,5,5,5,5,1,1,1,1,1,1,1,1
371,434,308,398,433,359,277,32,37,16,32,29,31,15,0.0862533692722372,0.0852534562211982,0.051948051948052,0.0804020100502513,0.0669745958429561,0.0863509749303621,0.0541516245487365,0.968806282712658,0.880272439576171,0.790755363725608,0.858333244704028,0.973231440326587,0.882757376299024,0.57954213055096,0.968806282712658,0.880272439576171,0.790755363725608,0.858333244704028,0.973231440326587,0.882757376299024,0.57954213055096,0.968806282712658,0.880272439576171,0.790755363725608,0.858333244704028,0.973231440326587,0.882757376299024,0.57954213055096,0.968806282712658,0.880272439576171,0.790755363725608,0.858333244704028,0.973231440326587,0.882757376299024,0.57954213055096,1,1,1,1,1,1,1,0.968806282712658,0.880272439576171,0.790755363725608,0.858333244704028,1.23966801526273,0.882757376299024,0.57954213055096,5,5,6,5,5,5,5,1,1,1,1,1,1,1,1
252,275,248,281,344,249,203,18,29,20,26,14,20,11,0.0714285714285714,0.105454545454545,0.0806451612903226,0.0925266903914591,0.0406976744186047,0.0803212851405622,0.0541871921182266,0.80229270287142,1.08885591395633,1.08083497851611,0.987770508918737,0.753294658031541,0.821116460918123,0.579922782196642,0.80229270287142,1.08885591395633,1.08083497851611,0.987770508918737,0.753294658031541,0.821116460918123,0.579922782196642,0.80229270287142,1.08885591395633,1.08083497851611,0.987770508918737,0.753294658031541,0.821116460918123,0.579922782196642,0.80229270287142,1.08885591395633,1.08083497851611,0.987770508918737,0.753294658031541,0.821116460918123,0.579922782196642,1,1,1,1,1,1,1,0.80229270287142,1.08885591395633,1.22758393159016,0.987770508918737,0.753294658031541,0.821116460918123,0.579922782196642,5,5,6,5,5,5,5,1,1,1,1,1,1,1,1
1534,1793,1301,1708,1938,1328,1328,0,0,2,0,0,0,153,0,0,0.00153727901614143,0,0,0,0.115210843373494,0,0,0,0,0,0,0.994888867318254,0,0,0,0,0,0,0.994888867318254,0,0,0,0,0,0,0.994888867318254,0,0,0,0,0,0,0.994888867318254,1,1,1,1,1,1,1,0,0,0.0196781423067331,0,0,0,0.994888867318254,3,3,3,3,3,3,3,1,1,1,1,1,1,1,4
917,957,801,879,1111,773,691,73,0,0,0,0,0,0,0.0796074154852781,0,0,0,0,0,0,0.732248216073962,0,0,0,0,0,0,0.732248216073962,0,0,0,0,0,0,0.732248216073962,0,0,0,0,0,0,0.732248216073962,0,0,0,0,0,0,1,1,1,1,1,1,1,0.732248216073962,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1,5
113,173,144,174,210,135,123,20,0,0,0,0,0,0,0.176991150442478,0,0,0,0,0,0,0.828349025834281,0,0,0,0,0,0,0.828349025834281,0,0,0,0,0,0,0.828349025834281,0,0,0,0,0,0,0.828349025834281,0,0,0,0,0,0,1,1,1,1,1,1,1,1.62973711886423,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3
525,563,381,504,632,448,372,48,67,16,58,33,48,41,0.0914285714285714,0.119005328596803,0.041994750656168,0.115079365079365,0.0522151898734177,0.107142857142857,0.110215053763441,0.843482264572479,0.951473087540469,0.537250839163594,0.974318417766849,0.852792396212747,0.849216702852936,0.931920941730159,0.843482264572479,0.951473087540469,0.537250839163594,0.974318417766849,0.852792396212747,0.849216702852936,0.931920941730159,0.843482264572479,0.951473087540469,0.537250839163594,0.974318417766849,0.852792396212747,0.849216702852936,0.931920941730159,0.843482264572479,0.951473087540469,0.537250839163594,0.974318417766849,0.852792396212747,0.849216702852936,0.931920941730159,1,1,1,1,1,1,1,0.843482264572479,0.951473087540469,0.537250839163594,0.974318417766849,0.852792396212747,0.849216702852936,0.931920941730159,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1
