"CRUK0372_SU_T2.R1_cov","CRUK0372_SU_T2.R2_cov","CRUK0372_SU_T2.R1_var_count","CRUK0372_SU_T2.R2_var_count","CRUK0372_SU_T2.R1_VAF","CRUK0372_SU_T2.R2_VAF","CRUK0372_SU_T2.R1_PhyloCCF","CRUK0372_SU_T2.R2_PhyloCCF","CRUK0372_SU_T2.R1_PycloneCCF","CRUK0372_SU_T2.R2_PycloneCCF","CRUK0372_SU_T2.R1_Pyclone_0.05","CRUK0372_SU_T2.R2_Pyclone_0.05","CRUK0372_SU_T2.R1_Pyclone_0.95","CRUK0372_SU_T2.R2_Pyclone_0.95","CRUK0372_SU_T2.R1_cpn.copies","CRUK0372_SU_T2.R2_cpn.copies","CRUK0372_SU_T2.R1_mut.cpn.num","CRUK0372_SU_T2.R2_mut.cpn.num","CRUK0372_SU_T2.R1_nAraw","CRUK0372_SU_T2.R2_nAraw","CRUK0372_SU_T2.R1_nBraw","CRUK0372_SU_T2.R2_nBraw","PycloneCluster"
147,127,10,3,0.0680272108843537,0.0236220472440945,1.12064851066125,0.458696200586345,1.12064851066125,0.458696200586345,1.12064851066125,0.458696200586345,1.12064851066125,0.458696200586345,1,1,1.12064851066125,0.458696200586345,3,3,0,0,1
1320,1339,199,192,0.150757575757576,0.143390589992532,0.897441432449783,1.07930021219409,0.897441432449783,1.07930021219409,0.897441432449783,1.07930021219409,0.897441432449783,1.07930021219409,1,1,2.50636127078122,2.7772558487952,3,3,0,1,1
717,708,124,82,0.172942817294282,0.115819209039548,1.03016430564665,1.12162023925235,1.03016430564665,1.12162023925235,1.03016430564665,1.12162023925235,1.03016430564665,1.12162023925235,1,1,2.87702776454826,2.24324047850471,3,3,0,1,1
1020,1035,106,69,0.103921568627451,0.0666666666666667,0.963915093288607,0.821560808776972,0.963915093288607,0.821560808776972,0.963915093288607,0.821560808776972,0.963915093288607,0.821560808776972,1,1,1.72809284258883,1.2924798775288,3,3,0,1,1
872,810,151,109,0.173165137614679,0.134567901234568,1.03004997844492,1.01289188059375,1.03004997844492,1.01289188059375,1.03004997844492,1.01289188059375,1.03004997844492,1.01289188059375,1,1,2.876708473216,2.60637389652462,3,3,0,1,1
512,549,93,61,0.181640625,0.111111111111111,1.0804652971333,1.07602592058356,1.0804652971333,1.07602592058356,1.0804652971333,1.07602592058356,1.0804652971333,1.07602592058356,1,1,3.01750763586409,2.15205184116712,3,3,0,1,1
628,578,112,59,0.178343949044586,0.102076124567474,1.06085545508547,0.988529003165865,1.06085545508547,0.988529003165865,1.06085545508547,0.988529003165865,1.06085545508547,0.988529003165865,1,1,2.96274155658842,1.97705800633173,3,3,0,1,1
282,280,57,44,0.202127659574468,0.157142857142857,1.20232971980242,1.18281345427134,1.20232971980242,1.18281345427134,1.20232971980242,1.18281345427134,1.20232971980242,1.18281345427134,1,1,3.35784880824592,3.04361617536492,3,3,0,1,1
827,803,44,24,0.0532043530834341,0.0298879202988792,0.883858121994854,0.578883185170731,0.883858121994854,0.578883185170731,0.883858121994854,0.578883185170731,0.883858121994854,0.578883185170731,1,1,0.883858121994854,0.578883185170731,3,3,0,1,1
451,453,16,17,0.0354767184035477,0.0375275938189845,0.589357522184837,0.726851946354457,0.589357522184837,0.726851946354457,0.589357522184837,0.726851946354457,0.589357522184837,0.726851946354457,1,1,0.589357522184837,0.726851946354457,3,3,0,1,1
268,257,48,22,0.17910447761194,0.0856031128404669,1.06537935894511,1.05801999989009,1.06537935894511,1.05801999989009,1.06537935894511,1.05801999989009,1.06537935894511,1.05801999989009,1,1,2.97537584894061,1.66447759590269,3,3,0,1,1
1185,1202,201,152,0.169620253164557,0.126455906821963,1.00896370090814,0.951832941570642,1.00896370090814,0.951832941570642,1.00896370090814,0.951832941570642,1.00896370090814,0.951832941570642,1,1,2.81781902656,2.44925700392397,3,3,0,1,1
330,351,13,15,0.0393939393939394,0.0427350427350427,0.654432415259413,0.827712246602737,0.654432415259413,0.827712246602737,0.654432415259413,0.827712246602737,0.654432415259413,0.827712246602737,1,1,0.654432415259413,0.827712246602737,3,3,0,1,1
959,936,32,21,0.0333680917622523,0.0224358974358974,0.554327930146739,0.435479441092704,0.554327930146739,0.435479441092704,0.554327930146739,0.435479441092704,0.554327930146739,0.435479441092704,1,1,0.554327930146739,0.435479441092704,3,3,0,1,1
789,785,32,13,0.0405576679340938,0.0165605095541401,0.673764873270878,0.320751675689876,0.673764873270878,0.320751675689876,0.673764873270878,0.320751675689876,0.673764873270878,0.320751675689876,1,1,0.673764873270878,0.320751675689876,3,3,0,1,1
404,480,20,12,0.0495049504950495,0.025,0.822401740425005,0.484211664262601,0.822401740425005,0.484211664262601,0.822401740425005,0.484211664262601,0.822401740425005,0.484211664262601,1,1,0.822401740425005,0.484211664262601,3,3,0,1,1
167,172,16,2,0.0958083832335329,0.0116279069767442,0.887790740084592,0.225214727564001,0.887790740084592,0.225214727564001,0.887790740084592,0.225214727564001,0.887790740084592,0.225214727564001,1,1,1.59161821859498,0.225214727564001,3,3,0,1,1
715,674,29,24,0.0405594405594406,0.0356083086053412,0.673794321036318,0.689678334854744,0.673794321036318,0.689678334854744,0.673794321036318,0.689678334854744,0.673794321036318,0.689678334854744,1,1,0.673794321036318,0.689678334854744,3,3,0,1,1
575,587,93,67,0.161739130434783,0.114139693356048,0.963759986293117,1.1053554175671,0.963759986293117,1.1053554175671,0.963759986293117,1.1053554175671,0.963759986293117,1.1053554175671,1,1,2.69157475533521,2.21071083513419,3,3,0,1,1
671,653,40,24,0.0596125186289121,0.0367534456355283,0.990313869245013,0.711857883142569,0.990313869245013,0.711857883142569,0.990313869245013,0.711857883142569,0.990313869245013,0.711857883142569,1,1,0.990313869245013,0.711857883142569,3,3,0,1,1
343,377,51,45,0.14868804664723,0.119363395225464,0.887037346373159,0.898447644310276,0.887037346373159,0.898447644310276,0.887037346373159,0.898447644310276,0.887037346373159,0.898447644310276,1,1,2.47730489177146,2.31188593016627,3,3,0,1,1
303,329,15,9,0.0495049504950495,0.027355623100304,0.822401740425005,0.529836471533546,0.822401740425005,0.529836471533546,0.822401740425005,0.529836471533546,0.822401740425005,0.529836471533546,1,1,0.822401740425005,0.529836471533546,3,3,0,1,1
366,329,18,7,0.0491803278688525,0.0212765957446809,0.817008942127136,0.41209503341498,0.817008942127136,0.41209503341498,0.817008942127136,0.41209503341498,0.817008942127136,0.41209503341498,1,1,0.817008942127136,0.41209503341498,3,3,0,1,1
206,177,16,7,0.0776699029126214,0.0395480225988701,0.719713852398674,0.765984553635754,0.719713852398674,0.765984553635754,0.719713852398674,0.765984553635754,0.719713852398674,0.765984553635754,1,1,1.29029243934641,0.765984553635754,3,3,0,1,1
293,296,48,28,0.16382252559727,0.0945945945945946,0.974476683267201,0.916076121577895,0.974476683267201,0.916076121577895,0.974476683267201,0.916076121577895,0.974476683267201,0.916076121577895,1,1,2.72150418947469,1.83215224315579,3,3,0,1,1
958,926,41,29,0.0427974947807933,0.031317494600432,0.7109740307098,0.606571847240408,0.7109740307098,0.606571847240408,0.7109740307098,0.606571847240408,0.7109740307098,0.606571847240408,1,1,0.7109740307098,0.606571847240408,3,3,0,1,1
675,741,20,23,0.0296296296296296,0.0310391363022942,0.492222671306225,0.601180473848304,0.492222671306225,0.601180473848304,0.492222671306225,0.601180473848304,0.492222671306225,0.601180473848304,1,1,0.492222671306225,0.601180473848304,3,3,0,1,1
1261,1328,61,33,0.0483743061062649,0.0248493975903614,0.803618893379612,0.83966208001069,0.803618893379612,0.83966208001069,0.803618893379612,0.83966208001069,0.803618893379612,0.83966208001069,1,1,0.803618893379612,0.48129472652608,3,3,0,1,1
919,847,158,93,0.171926006528836,0.109799291617473,1.02267917063774,1.06332195457903,1.02267917063774,1.06332195457903,1.02267917063774,1.06332195457903,1.02267917063774,1.06332195457903,1,1,2.85612338927143,2.12664390915806,3,3,0,1,1
797,800,139,99,0.174404015056462,0.12375,1.03741927748388,0.931465595238678,1.03741927748388,0.931465595238678,1.03741927748388,0.931465595238678,1.03741927748388,0.931465595238678,1,1,2.89728934349476,2.39684773809988,3,3,0,1,1
414,414,73,55,0.176328502415459,0.132850241545894,1.04886683667483,0.999963065205237,1.04886683667483,0.999963065205237,1.04886683667483,0.999963065205237,1.04886683667483,0.999963065205237,1,1,2.92925991891476,2.57310546226503,3,3,0,1,1
196,156,18,12,0.0918367346938776,0.0769230769230769,0.850988190272412,0.947038881020501,0.850988190272412,0.947038881020501,0.850988190272412,0.947038881020501,0.850988190272412,0.947038881020501,1,1,1.52563914703332,1.48988204388493,3,3,0,1,1
413,423,93,66,0.225181598062954,0.156028368794326,1.33946303179721,1.1744247063687,1.33946303179721,1.1744247063687,1.33946303179721,1.1744247063687,1.33946303179721,1.1744247063687,1,1,3.74083271080488,3.02203024504319,3,3,0,1,1
1137,1061,74,43,0.0650835532102023,0.0405278039585297,1.10229042009082,0.803782591948975,1.10229042009082,0.803782591948975,1.10229042009082,0.803782591948975,1.10229042009082,0.803782591948975,1,1,1.10229042009082,0.803782591948975,3,3,1,1,1
608,647,111,79,0.182565789473684,0.12210200927357,1.08420724101946,0.871755379268956,1.08420724101946,0.871755379268956,1.08420724101946,0.871755379268956,1.08420724101946,0.871755379268956,1,1,3.09203340701464,2.42163304965929,3,3,1,1,1
305,322,57,34,0.186885245901639,0.105590062111801,1.10985928650925,1.04707688942537,1.10985928650925,1.04707688942537,1.10985928650925,1.04707688942537,1.10985928650925,1.04707688942537,1,1,3.16519006804015,2.09415377885074,3,3,1,1,1
136,121,17,11,0.125,0.0909090909090909,1.05853395915817,1.01412164905013,1.05853395915817,1.01412164905013,1.05853395915817,1.01412164905013,1.05853395915817,1.01412164905013,1,1,2.11706791831633,1.80298801280732,3,3,1,1,1
233,227,12,9,0.0515021459227468,0.039647577092511,0.872268326859947,0.786325168581166,0.872268326859947,0.786325168581166,0.872268326859947,0.786325168581166,0.872268326859947,0.786325168581166,1,1,0.872268326859947,0.786325168581166,3,3,1,1,1
1145,1154,53,56,0.0462882096069869,0.048526863084922,0.780739486440672,0.967109473596409,0.780739486440672,0.967109473596409,0.780739486440672,0.967109473596409,0.780739486440672,0.967109473596409,1,1,0.780739486440672,0.967109473596409,3,3,1,1,1
188,158,6,10,0.0319148936170213,0.0632911392405063,0.538305928527441,1.26135209372769,0.538305928527441,1.26135209372769,0.538305928527441,1.26135209372769,0.538305928527441,1.26135209372769,1,1,0.538305928527441,1.26135209372769,3,3,1,1,1
1255,1178,224,192,0.178486055776892,0.162988115449915,1.05212084204447,1.19638469190682,1.05212084204447,1.19638469190682,1.05212084204447,1.19638469190682,1.05212084204447,1.19638469190682,1,1,3.01050986217099,3.24824933067259,3,3,1,1,1
527,571,91,78,0.172675521821632,0.136602451838879,1.01786951719376,1.00270551509747,1.01786951719376,1.00270551509747,1.01786951719376,1.00270551509747,1.01786951719376,1.00270551509747,1,1,2.91250405605549,2.72239986043783,3,3,1,1,1
587,573,107,82,0.182282793867121,0.143106457242583,1.07450145468744,1.05044698679675,1.07450145468744,1.05044698679675,1.07450145468744,1.05044698679675,1.07450145468744,1.05044698679675,1,1,3.07454913635945,2.85202054560836,3,3,1,1,1
202,198,38,29,0.188118811881188,0.146464646464646,1.10890300028954,1.07509716553348,1.10890300028954,1.07509716553348,1.10890300028954,1.07509716553348,1.10890300028954,1.07509716553348,1,1,3.17298478003303,2.91894711790922,3,3,1,1,1
1074,1203,43,55,0.0400372439478585,0.0457190357439734,0.675304954409657,0.911151263050174,0.675304954409657,0.911151263050174,0.675304954409657,0.911151263050174,0.675304954409657,0.911151263050174,1,1,0.675304954409657,0.911151263050174,3,3,1,1,1
741,675,137,81,0.184885290148448,0.12,1.08285357689977,0.897548637848005,1.08285357689977,0.897548637848005,1.08285357689977,0.897548637848005,1.08285357689977,0.897548637848005,1,1,3.74253787885222,2.66552194290257,3,3,3,3,1
892,821,161,94,0.180493273542601,0.114494518879415,1.09436730140322,0.875771296401254,1.09436730140322,0.875771296401254,1.09436730140322,0.875771296401254,1.09436730140322,0.875771296401254,1,1,3.56841165626737,2.5208984267049,3,3,3,3,1
825,686,28,11,0.0339393939393939,0.0160349854227405,0.670993032387983,0.353052442335648,0.670993032387983,0.353052442335648,0.670993032387983,0.353052442335648,0.670993032387983,0.353052442335648,1,1,0.670993032387983,0.353052442335648,3,3,3,3,1
1075,1012,38,16,0.0353488372093023,0.0158102766798419,0.698858191540308,0.348104887448443,0.698858191540308,0.348104887448443,0.698858191540308,0.348104887448443,0.698858191540308,0.348104887448443,1,1,0.698858191540308,0.348104887448443,3,3,3,3,1
1342,1306,40,20,0.029806259314456,0.0153139356814701,0.589279595188509,0.337176632942022,0.589279595188509,0.337176632942022,0.589279595188509,0.337176632942022,0.589279595188509,0.337176632942022,1,1,0.589279595188509,0.337176632942022,3,3,3,3,1
533,489,97,68,0.181988742964353,0.139059304703476,1.10343463562178,1.03743397073612,1.10343463562178,1.03743397073612,1.10343463562178,1.03743397073612,1.10343463562178,1.03743397073612,1,1,3.59797758086628,3.0680309854831,3,3,3,3,1
1279,1185,119,93,0.0930414386239249,0.0784810126582278,0.919729992107257,0.919870076502599,0.919729992107257,0.919870076502599,0.919729992107257,0.919870076502599,0.919729992107257,0.919870076502599,1,1,1.83945998421451,1.72796622294819,3,3,3,3,1
590,483,96,48,0.16271186440678,0.0993788819875776,1.03841909714471,1.11462156102308,1.03841909714471,1.11462156102308,1.03841909714471,1.11462156102308,1.03841909714471,1.11462156102308,1,1,3.38598092760133,2.22924312204617,3,3,3,3,1
678,689,25,27,0.0368731563421829,0.0391872278664731,0.728994484460711,0.862810045776602,0.728994484460711,0.862810045776602,0.728994484460711,0.862810045776602,0.728994484460711,0.862810045776602,1,1,0.728994484460711,0.862810045776602,3,3,3,3,1
622,567,106,79,0.170418006430868,0.139329805996473,1.03327891476381,1.03732634193949,1.03327891476381,1.03732634193949,1.03327891476381,1.03732634193949,1.03327891476381,1.03732634193949,1,1,3.36922029641302,3.06771269198943,3,3,3,3,1
1578,1573,260,181,0.164765525982256,0.115066751430388,0.999006780110977,0.880148316785399,0.999006780110977,0.880148316785399,0.999006780110977,0.880148316785399,0.999006780110977,0.880148316785399,1,1,3.25746889025942,2.53349763365012,3,3,3,3,1
961,904,160,139,0.166493236212279,0.153761061946903,1.00948223742263,1.14476869311187,1.00948223742263,1.14476869311187,1.00948223742263,1.14476869311187,1.00948223742263,1.14476869311187,1,1,3.29162629237453,3.38545480555846,3,3,3,3,1
881,793,76,69,0.0862656072644722,0.0870113493064313,0.852749779688798,1.01985351401694,0.852749779688798,1.01985351401694,0.852749779688798,1.01985351401694,0.852749779688798,1.01985351401694,1,1,1.7054995593776,1.91578405428357,3,3,3,3,1
343,352,29,29,0.0845481049562682,0.0823863636363636,0.835771985624869,0.965644403073431,0.835771985624869,0.965644403073431,0.835771985624869,0.965644403073431,0.835771985624869,0.965644403073431,1,1,1.67154397124974,1.81395281193837,3,3,3,3,1
920,847,124,79,0.134782608695652,0.0932703659976387,0.890167382680914,1.02679639690555,0.890167382680914,1.02679639690555,0.890167382680914,1.02679639690555,0.890167382680914,1.02679639690555,1,1,2.67050214804274,2.05359279381111,3,3,3,3,1
430,467,12,10,0.027906976744186,0.0214132762312634,0.551730151216032,0.471469681608438,0.551730151216032,0.471469681608438,0.551730151216032,0.471469681608438,0.551730151216032,0.471469681608438,1,1,0.551730151216032,0.471469681608438,3,3,3,3,1
984,923,147,124,0.149390243902439,0.134344528710726,0.984498161087551,1.00021038233994,0.984498161087551,1.00021038233994,0.984498161087551,1.00021038233994,0.984498161087551,1.00021038233994,1,1,2.95349448326265,2.95794868066971,3,3,3,3,1
1177,1098,126,80,0.107051826677995,0.0728597449908925,0.995972927787435,0.853983618822556,0.995972927787435,0.853983618822556,0.995972927787435,0.853983618822556,0.995972927787435,0.853983618822556,1,1,2.11644998533593,1.60419920809574,3,3,3,3,1
540,494,15,10,0.0277777777777778,0.0202429149797571,0.568570457893448,0.459133324087052,0.568570457893448,0.459133324087052,0.568570457893448,0.459133324087052,0.568570457893448,0.459133324087052,1,1,0.568570457893448,0.459133324087052,4,3,3,3,1
524,597,55,58,0.104961832061069,0.0971524288107203,1.07420754449335,0.986308300223844,1.07420754449335,0.986308300223844,1.07420754449335,0.986308300223844,1.07420754449335,0.986308300223844,1,1,2.14841508898669,2.20353232860004,4,3,3,3,1
